node_id,community,RNL
702728,1:1:1:,3
156182,1:1:1:,3
911175,1:1:1:,3
308605,1:1:1:,3
177530,1:1:1:,3
359343,1:1:1:,3
473488,1:1:1:,3
225074,1:1:1:,3
177526,1:1:1:,3
105092,1:1:1:,3
478226,1:1:1:,3
104507,1:1:1:,3
549847,1:1:1:,3
80716,1:1:1:,3
1168584,1:1:1:,3
82583,1:1:1:,3
444049,1:1:1:,3
294530,1:1:1:,3
456750,1:1:1:,3
228565,1:1:1:,3
88252,1:1:1:,3
1244362,1:1:1:,3
1169272,1:1:1:,3
590079,1:1:1:,3
294376,1:1:1:,3
1228565,1:1:1:,3
1276056,1:1:1:,3
131812,1:1:1:,3
237874,1:1:1:,3
908437,1:1:1:,3
1135022,1:1:1:,3
814627,1:1:1:,3
240944,1:1:1:,3
758786,1:1:1:,3
580082,1:1:1:,3
146012,1:1:1:,3
182235,1:1:1:,3
1024142,1:1:1:,3
210175,1:1:1:,3
534892,1:1:1:,3
1138606,1:1:1:,3
45914,1:1:1:,3
477052,1:1:1:,3
166288,1:1:1:,3
1017314,1:1:1:,3
1094224,1:1:1:,3
19807,1:1:1:,3
163731,1:1:1:,3
545126,1:1:1:,3
115575,1:1:1:,3
418824,1:1:1:,3
154209,1:1:1:,3
514043,1:1:1:,3
1028307,1:1:1:,3
376175,1:1:1:,3
816645,1:1:1:,3
623244,1:1:1:,3
312017,1:1:1:,3
176294,1:1:1:,3
688307,1:1:1:,3
129521,1:1:1:,3
416475,1:1:1:,3
1097373,1:1:1:,3
571120,1:1:1:,3
746457,1:1:1:,3
370693,1:1:1:,3
1053283,1:1:1:,3
250216,1:1:1:,3
186441,1:1:1:,3
362250,1:1:1:,3
298800,1:1:1:,3
13957,1:1:1:,3
545199,1:1:1:,3
572584,1:1:1:,3
462602,1:1:1:,3
478267,1:1:1:,3
684212,1:1:1:,3
1256742,1:1:1:,3
295645,1:1:1:,3
365786,1:1:1:,3
1233197,1:1:1:,3
818208,1:1:1:,3
912633,1:1:1:,3
140051,1:1:1:,3
1064137,1:1:1:,3
212481,1:1:1:,3
860829,1:1:1:,3
1231703,1:1:1:,3
1109000,1:1:1:,3
1184779,1:1:1:,3
310513,1:1:1:,3
212024,1:1:1:,3
365823,1:1:1:,3
38799,1:1:1:,3
799711,1:1:1:,3
140492,1:1:1:,3
741942,1:1:1:,3
785526,1:1:1:,3
608170,1:1:1:,3
728271,1:1:1:,3
276533,1:1:1:,3
798457,1:1:1:,3
1092085,1:1:1:,3
855276,1:1:1:,3
506282,1:1:1:,3
24186,1:1:1:,3
430196,1:1:1:,3
218176,1:1:1:,3
410287,1:1:1:,3
403537,1:1:1:,3
488207,1:1:1:,3
432262,1:1:1:,3
801627,1:1:1:,3
661298,1:1:1:,3
1301458,1:1:1:,3
1099890,1:1:1:,3
1264157,1:1:1:,3
1224438,1:1:1:,3
715921,1:1:1:,3
389086,1:1:1:,3
23966,1:1:1:,3
459657,1:1:1:,3
162607,1:1:1:,3
479997,1:1:1:,3
769907,1:1:1:,3
241258,1:1:1:,3
566812,1:1:1:,3
1290019,1:1:1:,3
38456,1:1:1:,3
855246,1:1:1:,3
712878,1:1:1:,3
648847,1:1:1:,3
278232,1:1:1:,3
623383,1:1:1:,3
898750,1:1:1:,3
1027471,1:1:1:,3
300273,1:1:1:,3
227370,1:1:1:,3
648248,1:1:1:,3
643118,1:1:1:,3
70413,1:1:1:,3
123114,1:1:1:,3
839230,1:1:1:,3
208282,1:1:1:,3
1295573,1:1:1:,3
471283,1:1:1:,3
676563,1:1:1:,3
1076453,1:1:1:,3
792879,1:1:1:,3
1044029,1:1:1:,3
275358,1:1:1:,3
172085,1:1:1:,3
1148087,1:1:1:,3
1202037,1:1:1:,3
528013,1:1:1:,3
337963,1:1:1:,3
104039,1:1:1:,3
663256,1:1:1:,3
1137119,1:1:1:,3
193331,1:1:1:,3
102620,1:1:1:,3
1138308,1:1:1:,3
129530,1:1:1:,3
1285390,1:1:1:,3
338088,1:1:1:,3
