node_id,community,RNL
68810,"1,1,",3
69028,"1,1,",3
69369,"1,1,",3
69612,"1,1,",3
69830,"1,1,",3
69972,"1,1,",3
70137,"1,1,",3
70261,"1,1,",3
70611,"1,1,",3
70914,"1,1,",3
71010,"1,1,",3
71241,"1,1,",3
71581,"1,1,",3
71594,"1,1,",3
71616,"1,1,",3
71621,"1,1,",3
71709,"1,1,",3
71830,"1,1,",3
72012,"1,1,",3
72188,"1,1,",3
72377,"1,1,",3
73097,"1,1,",3
73165,"1,1,",3
73782,"1,1,",3
74225,"1,1,",3
74443,"1,1,",3
75358,"1,1,",3
75368,"1,1,",3
75518,"1,1,",3
75564,"1,1,",3
75608,"1,1,",3
75612,"1,1,",3
75629,"1,1,",3
75825,"1,1,",3
75828,"1,1,",3
76584,"1,1,",3
76858,"1,1,",3
76933,"1,1,",3
77461,"1,1,",3
77475,"1,1,",3
77819,"1,1,",3
77896,"1,1,",3
78189,"1,1,",3
78256,"1,1,",3
78453,"1,1,",3
78755,"1,1,",3
78765,"1,1,",3
79407,"1,1,",3
80334,"1,1,",3
81315,"1,1,",3
81655,"1,1,",3
81677,"1,1,",3
81729,"1,1,",3
81821,"1,1,",3
81855,"1,1,",3
82104,"1,1,",3
82219,"1,1,",3
82512,"1,1,",3
82735,"1,1,",3
82778,"1,1,",3
83012,"1,1,",3
83138,"1,1,",3
83174,"1,1,",3
83705,"1,1,",3
84116,"1,1,",3
84448,"1,1,",3
84514,"1,1,",3
84554,"1,1,",3
85468,"1,1,",3
85730,"1,1,",3
86025,"1,1,",3
86061,"1,1,",3
86348,"1,1,",3
86547,"1,1,",3
86659,"1,1,",3
86753,"1,1,",3
86789,"1,1,",3
86934,"1,1,",3
87131,"1,1,",3
87340,"1,1,",3
87405,"1,1,",3
87498,"1,1,",3
88007,"1,1,",3
88426,"1,1,",3
89527,"1,1,",3
89597,"1,1,",3
89896,"1,1,",3
89898,"1,1,",3
90082,"1,1,",3
90139,"1,1,",3
90781,"1,1,",3
91208,"1,1,",3
91615,"1,1,",3
91657,"1,1,",3
91694,"1,1,",3
91762,"1,1,",3
91764,"1,1,",3
91869,"1,1,",3
91888,"1,1,",3
91964,"1,1,",3
92013,"1,1,",3
92067,"1,1,",3
92128,"1,1,",3
92278,"1,1,",3
92598,"1,1,",3
92862,"1,1,",3
93124,"1,1,",3
93953,"1,1,",3
93957,"1,1,",3
94054,"1,1,",3
94073,"1,1,",3
94177,"1,1,",3
94485,"1,1,",3
94774,"1,1,",3
95191,"1,1,",3
95291,"1,1,",3
95920,"1,1,",3
96263,"1,1,",3
96709,"1,1,",3
97234,"1,1,",3
97866,"1,1,",3
97874,"1,1,",3
98240,"1,1,",3
99046,"1,1,",3
99062,"1,1,",3
99169,"1,1,",3
99465,"1,1,",3
100204,"1,1,",3
100604,"1,1,",3
100616,"1,1,",3
101165,"1,1,",3
101219,"1,1,",3
101293,"1,1,",3
101968,"1,1,",3
102458,"1,1,",3
102499,"1,1,",3
102520,"1,1,",3
102948,"1,1,",3
102978,"1,1,",3
103051,"1,1,",3
103412,"1,1,",3
103489,"1,1,",3
103518,"1,1,",3
103639,"1,1,",3
104005,"1,1,",3
104042,"1,1,",3
104789,"1,1,",3
104797,"1,1,",3
